sex,sat_v,sat_m,sat_sum,hs_gpa,fy_gpa
2,42,64,91,3.2,2.6000000000000005
1,42,77,95,4.0,1.4000000000000001
1,49,51,72,3.5,-0.6000000000000001
2,35,48,74,3.2,2.2
2,43,59,102,2.3,2.2
1,35,55,106,3.2,1.8
1,38,48,90,3.7,1.0
1,49,61,91,3.75,2.6000000000000005
2,42,70,106,2.67,-0.6000000000000001
1,35,50,124,3.7,2.2
2,46,70,80,4.0,2.2
2,37,64,90,4.0,4.6
2,45,53,121,3.7,1.8
1,42,53,92,4.0,4.6
2,37,34,93,3.9,3.0
2,50,57,124,3.2,4.6
2,32,57,133,2.2,3.0
2,51,70,96,2.6,3.0
2,32,34,121,2.7,2.2
2,42,34,112,2.3,3.4000000000000004
1,63,71,116,3.75,1.4000000000000001
2,63,63,141,2.3,3.0
1,52,77,76,2.6,1.4000000000000001
1,51,57,121,3.2,3.0
1,41,53,107,2.6,2.6000000000000005
1,41,39,76,3.4,2.2
1,45,49,82,3.25,1.8
1,45,50,71,2.6,4.6
1,46,60,112,2.3,1.4000000000000001
1,32,77,124,2.8,-0.6000000000000001
2,43,63,81,2.6,1.8
1,38,70,121,3.25,2.6000000000000005
2,63,71,85,3.8,2.6000000000000005
1,63,39,97,2.7,1.8
1,43,66,71,2.5,2.2
1,49,40,130,3.5,1.4000000000000001
2,41,53,127,2.2,3.0
2,44,40,105,3.0,1.8
2,45,49,93,3.0,2.2
1,56,53,133,3.2,2.2
2,49,52,121,2.1,2.6000000000000005
2,42,71,110,3.75,1.8
2,51,58,90,3.75,1.8
2,43,57,93,2.3,2.2
1,51,47,88,4.0,2.2
1,35,42,103,4.0,2.6000000000000005
1,54,40,102,4.0,4.6
2,37,57,97,3.5,1.8
2,51,61,93,3.25,2.6000000000000005
2,42,61,105,3.2,1.8
2,51,67,103,3.75,1.4000000000000001
2,69,40,97,3.75,2.6000000000000005
1,44,66,86,3.25,4.6
1,56,62,106,4.0,2.2
2,55,50,105,2.3,3.0
2,35,49,72,2.25,3.0
2,35,49,87,2.3,2.2
2,37,50,121,3.4,2.2
2,52,70,96,4.0,3.0
1,51,53,85,3.5,2.2
2,38,62,124,3.2,1.4000000000000001
2,32,39,103,2.3,2.2
1,52,70,113,2.6,3.4000000000000004
2,45,53,95,3.75,2.6000000000000005
2,42,59,86,4.0,3.0
2,38,67,95,3.9,2.6000000000000005
1,69,66,81,2.3,3.0
2,52,34,121,3.9,1.4000000000000001
2,37,51,110,2.5,4.6
2,62,70,103,2.7,3.0
1,52,48,102,3.2,2.2
1,35,50,100,2.6,4.6
2,43,50,88,4.0,3.0
1,37,51,127,3.7,2.6000000000000005
2,38,64,71,3.75,1.4000000000000001
2,52,61,85,4.0,2.2
1,42,55,144,2.8,1.4000000000000001
2,42,71,112,3.7,2.6000000000000005
1,55,50,103,2.7,1.8
2,37,62,102,3.8,1.4000000000000001
2,42,62,100,3.2,1.4000000000000001
2,50,58,106,3.7,3.0
1,43,50,82,3.25,3.4000000000000004
2,43,51,101,3.2,2.6000000000000005
2,68,67,106,3.25,1.8
1,35,62,110,3.8,2.6000000000000005
2,35,50,112,3.75,2.6000000000000005
1,52,59,121,3.5,1.0
2,45,70,102,3.2,1.4000000000000001
2,69,53,110,2.3,1.8
2,69,70,141,4.0,1.4000000000000001
2,50,31,109,3.25,2.2
2,68,70,91,2.75,2.2
1,44,70,127,4.0,1.8
2,38,64,74,3.75,3.0
2,50,53,73,2.2,1.8
1,45,40,88,2.6,1.8
2,63,53,72,3.75,2.2
1,63,57,95,3.0,1.8
1,43,62,96,3.5,1.0
2,43,71,90,3.75,3.4000000000000004
1,52,54,116,3.5,2.2
2,43,57,140,3.25,4.6
1,32,63,86,3.5,1.4000000000000001
1,54,52,105,4.0,1.4000000000000001
1,46,42,107,3.75,1.4000000000000001
1,32,50,89,3.8,1.4000000000000001
1,56,54,96,3.25,3.0
1,63,51,121,4.0,2.2
2,37,55,72,2.67,4.6
1,37,51,91,3.5,3.0
1,69,52,111,3.25,2.6000000000000005
1,68,62,101,4.0,1.4000000000000001
2,43,60,106,2.2,2.2
2,38,62,95,3.25,1.8
2,63,50,124,3.25,4.6
2,51,53,111,3.75,2.6000000000000005
2,68,61,71,3.25,2.6000000000000005
2,62,67,144,3.2,2.2
2,50,60,124,2.1,1.8
2,52,77,110,2.3,2.2
2,37,70,71,4.0,1.4000000000000001
2,32,57,102,4.0,4.6
1,38,49,88,2.7,3.4000000000000004
2,51,57,116,3.7,1.8
2,42,34,130,2.3,2.6000000000000005
1,44,59,112,2.6,1.0
2,44,62,85,4.0,4.6
1,41,53,144,3.25,1.0
1,56,67,88,3.7,4.6
1,37,49,103,3.8,4.6
2,62,64,133,3.5,3.4000000000000004
1,46,48,92,2.8,1.0
1,45,42,114,3.8,2.2
2,52,53,89,3.0,4.6
2,68,40,85,4.0,4.6
2,62,50,109,2.5,2.6000000000000005
1,42,50,93,2.7,2.6000000000000005
2,42,57,72,2.1,2.6000000000000005
2,43,55,82,2.7,1.8
2,52,60,95,2.6,1.8
1,50,34,133,3.2,3.0
1,46,53,121,3.25,1.4000000000000001
2,54,67,81,3.5,1.8
1,50,52,97,3.9,3.0
1,32,39,82,2.2,3.0
2,50,52,91,3.7,2.2
2,45,39,88,3.2,2.6000000000000005
1,46,62,96,3.8,2.2
2,63,40,111,2.25,1.8
2,51,70,87,2.7,1.4000000000000001
2,37,67,110,2.8,1.4000000000000001
1,51,62,72,3.8,2.2
2,37,62,144,4.0,2.2
2,49,49,115,3.25,2.6000000000000005
1,52,70,95,3.2,4.6
1,44,55,97,4.0,1.4000000000000001
1,37,47,115,3.2,2.6000000000000005
2,37,53,100,4.0,3.0
1,63,53,106,2.6,1.8
2,69,39,89,3.2,2.2
1,41,39,121,2.6,1.0
2,37,66,112,4.0,2.6000000000000005
2,45,67,72,4.0,2.6000000000000005
1,52,57,103,3.25,2.2
2,45,62,92,3.2,2.6000000000000005
2,44,39,130,2.7,2.2
1,42,51,93,3.9,1.4000000000000001
2,69,77,85,2.3,1.4000000000000001
1,51,51,86,2.6,4.6
1,41,50,124,2.3,2.6000000000000005
2,51,63,115,3.75,2.2
2,52,62,93,3.75,4.6
1,50,70,89,2.5,2.6000000000000005
2,52,77,95,2.3,2.6000000000000005
2,63,51,92,2.3,1.8
2,50,39,95,2.6,2.2
1,56,66,110,3.4,1.4000000000000001
1,52,58,112,4.0,2.2
1,42,51,81,4.0,2.2
2,43,55,85,2.6,1.8
1,35,58,91,3.0,2.2
1,52,54,91,3.25,1.4000000000000001
1,37,40,107,4.0,2.2
2,63,34,105,2.6,4.6
2,41,51,113,3.75,4.6
1,49,58,110,2.25,1.8
2,50,70,82,2.6,2.2
2,49,54,93,2.7,3.0
1,37,51,141,3.5,2.2
2,44,57,141,3.5,1.0
2,44,51,111,2.8,3.0
1,37,53,88,2.3,4.6
1,38,39,140,3.7,2.2
2,35,53,110,4.0,-0.6000000000000001
2,45,58,112,2.7,4.6
1,35,53,106,3.9,4.6
1,54,60,105,2.7,1.8
2,35,60,110,2.7,3.0
2,50,51,88,2.1,3.0
1,43,62,103,2.2,3.0
2,38,50,93,3.5,1.4000000000000001
1,41,77,97,4.0,1.8
1,35,39,127,2.7,2.2
2,37,34,119,2.75,1.8
1,52,62,87,3.25,2.6000000000000005
1,49,52,112,3.2,4.6
2,35,53,82,3.7,2.2
2,41,50,85,3.7,3.0
1,38,54,106,2.3,2.2
1,41,55,93,3.4,1.8
2,42,40,127,2.25,2.2
1,51,67,130,3.75,4.6
1,42,59,141,3.75,2.2
2,38,58,107,2.8,3.0
1,50,51,107,2.2,2.2
2,69,62,85,2.6,2.2
2,62,40,124,2.3,4.6
2,52,67,124,4.0,2.6000000000000005
1,43,34,86,2.3,2.2
2,41,48,106,3.75,3.4000000000000004
1,41,70,111,2.2,2.2
2,41,57,86,3.7,1.8
1,46,39,106,4.0,2.6000000000000005
1,50,60,80,3.2,4.6
1,35,57,144,3.8,4.6
2,45,53,103,3.0,1.4000000000000001
2,38,61,100,2.7,2.2
1,35,50,105,3.8,2.6000000000000005
1,45,70,112,3.25,2.2
1,56,52,124,2.7,2.2
2,37,66,76,3.8,2.6000000000000005
1,62,49,86,3.5,1.4000000000000001
2,69,59,124,3.25,3.0
1,35,66,109,3.5,1.4000000000000001
1,51,63,96,2.2,2.2
1,41,64,96,3.0,4.6
2,38,62,91,2.7,3.4000000000000004
1,37,62,90,2.1,4.6
2,46,49,81,2.3,3.0
1,55,42,82,3.5,2.2
2,50,64,93,2.6,2.6000000000000005
1,41,50,110,2.3,2.2
1,51,64,112,3.75,2.2
1,52,59,72,3.25,1.0
2,50,62,86,4.0,2.6000000000000005
1,62,50,141,2.7,2.2
2,45,53,124,2.7,3.4000000000000004
1,43,54,124,2.2,1.4000000000000001
1,35,39,93,3.8,2.2
1,52,48,127,2.5,4.6
1,43,50,133,2.7,2.2
1,54,77,112,3.2,3.0
2,50,71,111,2.3,4.6
2,45,48,101,2.3,2.2
2,41,77,93,3.25,1.8
1,52,57,115,3.7,4.6
2,56,34,112,2.67,1.8
1,63,50,86,2.1,3.0
1,50,49,95,3.2,2.6000000000000005
2,54,50,130,3.5,1.8
1,56,67,85,4.0,2.6000000000000005
2,45,62,109,4.0,2.2
1,52,34,110,3.7,3.0
2,52,64,107,2.3,3.0
1,56,40,113,3.75,2.2
1,50,58,74,4.0,3.0
1,41,55,115,4.0,1.8
2,63,57,88,3.4,2.2
2,50,52,101,2.6,1.0
2,69,67,91,3.2,4.6
2,49,48,121,2.7,4.6
2,52,53,105,2.2,2.6000000000000005
2,42,55,107,3.5,2.6000000000000005
2,32,57,112,4.0,2.2
1,42,40,88,2.7,-0.6000000000000001
2,37,51,79,3.75,2.2
2,43,55,96,3.9,1.4000000000000001
2,35,62,114,2.3,3.0
1,42,62,130,2.3,1.8
2,62,71,121,4.0,2.6000000000000005
1,54,48,111,3.7,2.6000000000000005
2,62,48,85,2.67,1.8
2,41,50,101,2.2,1.8
1,49,49,85,2.1,1.0
2,69,53,88,3.75,1.4000000000000001
2,52,51,90,2.3,3.0
1,46,70,111,2.6,1.8
2,43,50,133,3.5,2.2
2,37,71,103,2.1,1.8
2,69,39,110,3.25,2.2
1,62,60,93,2.6,1.4000000000000001
2,32,50,93,3.2,1.8
1,37,66,89,3.5,1.8
2,41,40,103,3.75,2.6000000000000005
1,54,52,133,2.5,4.6
2,37,47,140,3.75,1.8
1,63,53,123,3.0,1.8
1,43,34,101,2.3,2.2
1,44,50,79,3.0,2.6000000000000005
1,49,60,102,3.7,1.8
1,42,77,115,3.5,1.4000000000000001
2,44,34,124,3.75,2.2
1,41,55,79,4.0,2.2
2,51,62,97,3.8,4.6
2,38,50,115,3.9,1.8
2,50,67,93,3.7,4.6
1,42,40,124,3.25,2.2
1,32,67,111,3.25,1.4000000000000001
1,56,77,101,2.2,1.8
2,49,34,87,3.8,4.6
2,32,58,105,2.25,2.2
2,32,50,136,4.0,2.6000000000000005
1,63,59,93,2.5,1.8
2,63,39,112,3.2,1.8
1,43,42,86,3.2,2.2
2,50,67,103,4.0,1.8
2,52,63,123,2.7,2.2
2,35,60,88,2.3,2.2
1,43,57,81,3.8,1.8
1,41,64,105,3.9,1.0
2,50,62,116,3.8,2.6000000000000005
1,37,58,97,3.25,2.6000000000000005
2,38,52,123,3.9,2.6000000000000005
1,43,49,102,3.4,2.2
2,63,52,76,4.0,2.2
1,41,70,95,3.2,2.6000000000000005
2,38,34,110,3.5,2.6000000000000005
2,56,71,102,3.25,1.8
2,68,34,92,2.3,3.0
2,45,47,93,2.8,2.2
2,51,52,121,3.25,2.2
1,37,67,121,4.0,4.6
1,52,34,71,3.4,3.4000000000000004
1,42,54,121,3.0,2.2
1,43,70,112,2.25,4.6
1,52,66,123,2.3,2.2
2,49,50,88,2.2,3.0
2,63,59,97,2.6,2.2
1,54,49,103,4.0,2.6000000000000005
1,44,67,116,4.0,1.0
2,50,53,121,3.5,1.4000000000000001
2,45,40,106,3.5,2.2
2,50,51,96,2.5,2.2
2,38,47,76,3.7,2.6000000000000005
1,51,42,80,2.3,3.0
2,43,53,79,2.75,1.8
2,37,61,89,3.2,2.2
2,49,34,96,2.3,3.0
2,35,62,85,4.0,2.2
1,50,52,85,3.0,4.6
1,69,48,95,2.2,3.4000000000000004
1,41,50,91,2.3,2.2
2,46,55,116,3.4,2.6000000000000005
2,49,53,97,2.1,1.4000000000000001
2,51,55,112,2.3,3.0
2,37,71,130,2.1,1.4000000000000001
1,50,55,113,3.8,2.6000000000000005
1,63,58,82,4.0,1.4000000000000001
1,45,67,87,2.2,2.6000000000000005
1,52,54,112,2.7,2.2
1,46,40,141,3.25,1.4000000000000001
2,52,62,101,2.7,2.2
2,37,34,85,4.0,1.8
2,63,49,124,3.8,1.4000000000000001
2,56,71,82,3.0,4.6
2,42,52,110,3.0,2.2
2,56,39,71,2.75,3.0
1,37,57,112,3.4,1.8
2,45,31,133,2.3,2.6000000000000005
2,49,71,141,3.2,1.8
2,45,70,91,2.6,4.6
2,46,49,89,2.3,1.4000000000000001
1,42,63,89,2.1,3.0
2,42,40,121,3.0,3.0
1,35,50,121,3.8,4.6
1,43,40,110,3.8,1.4000000000000001
1,55,49,113,3.4,2.6000000000000005
1,42,67,82,4.0,3.0
1,35,57,130,3.75,3.0
2,37,50,87,2.5,1.8
1,46,59,95,2.7,1.0
2,37,57,113,2.3,1.4000000000000001
1,69,63,76,2.7,2.2
2,54,50,101,3.5,2.2
1,42,57,86,3.75,1.8
1,44,55,74,3.0,2.2
1,37,70,133,2.1,2.2
2,42,50,96,2.3,1.8
2,42,54,133,2.3,1.8
2,63,51,112,2.3,2.2
1,43,57,124,2.67,1.8
2,69,53,80,2.7,2.2
1,54,58,85,3.5,3.4000000000000004
2,45,64,102,2.2,1.4000000000000001
2,49,54,71,3.8,1.8
1,35,53,101,2.7,1.4000000000000001
2,52,62,110,3.25,3.0
2,44,62,110,3.5,2.2
2,43,49,92,2.7,1.8
2,42,71,97,3.2,2.2
2,52,52,144,2.1,2.6000000000000005
2,45,58,100,3.25,3.4000000000000004
1,54,51,115,2.2,2.2
2,51,60,76,2.3,2.6000000000000005
1,45,53,141,2.6,2.6000000000000005
1,52,57,110,3.0,2.2
2,37,39,86,2.3,2.6000000000000005
1,37,39,81,3.2,2.6000000000000005
1,38,64,124,2.6,2.6000000000000005
1,43,57,95,2.7,1.4000000000000001
2,42,39,112,2.2,2.2
2,43,53,93,3.5,2.6000000000000005
2,49,67,89,2.6,2.6000000000000005
1,37,57,121,2.7,3.0
1,54,58,110,4.0,1.8
2,51,77,110,3.75,1.4000000000000001
1,44,42,109,3.7,3.4000000000000004
2,43,50,121,3.2,2.6000000000000005
2,42,66,110,2.3,2.2
2,37,34,111,2.67,2.2
2,56,64,87,3.2,2.2
2,37,52,88,3.9,1.0
1,35,63,136,3.5,2.2
2,50,50,72,3.4,1.8
1,52,52,74,3.25,1.0
2,43,63,93,2.3,2.2
2,69,58,103,3.2,3.0
2,50,64,144,2.7,3.0
2,54,57,110,2.3,1.8
2,35,64,76,3.75,1.8
1,68,34,121,2.3,2.2
2,43,39,74,4.0,4.6
2,43,51,95,3.5,3.0
2,52,55,92,3.4,2.2
1,55,42,102,3.2,3.0
2,46,61,72,3.9,1.4000000000000001
2,52,67,141,3.9,1.8
2,69,64,72,3.7,1.4000000000000001
2,38,52,86,3.75,3.0
2,32,49,126,3.2,1.8
2,49,58,110,4.0,2.2
2,35,48,85,2.5,2.6000000000000005
1,52,40,100,3.0,1.8
1,45,77,93,3.75,2.2
2,50,71,110,2.7,1.8
1,50,63,121,2.5,3.0
2,32,59,123,3.4,2.6000000000000005
1,54,66,95,2.7,1.4000000000000001
1,42,55,87,3.5,3.0
2,45,49,105,2.3,-0.6000000000000001
1,63,40,96,3.75,2.2
1,52,66,97,2.5,3.4000000000000004
2,44,66,100,3.7,1.4000000000000001
2,43,77,91,4.0,3.0
2,41,57,130,3.25,2.2
1,37,63,91,2.67,2.2
1,35,50,112,2.7,2.6000000000000005
1,51,57,133,3.25,3.0
1,43,50,107,3.9,4.6
2,38,57,89,2.8,1.4000000000000001
1,37,49,102,2.1,2.2
2,52,77,112,3.0,2.6000000000000005
2,69,62,121,3.8,1.4000000000000001
2,37,55,136,3.4,2.2
2,54,62,127,3.0,2.2
2,45,39,111,4.0,2.6000000000000005
1,49,48,124,3.5,1.4000000000000001
2,63,57,90,2.7,2.6000000000000005
1,43,34,95,3.0,4.6
1,35,53,71,3.5,2.2
2,37,67,112,2.8,2.2
2,52,59,130,3.0,4.6
1,51,64,105,4.0,2.2
2,50,53,110,2.67,2.6000000000000005
2,45,34,97,2.3,3.0
2,42,66,136,2.7,1.8
2,52,34,106,2.1,3.0
2,52,66,124,4.0,1.0
2,42,50,113,3.7,1.8
2,69,40,93,3.75,2.2
1,37,50,112,3.8,1.8
1,52,67,114,3.25,2.2
2,43,70,110,3.25,2.2
2,49,50,95,3.7,4.6
1,50,34,103,3.5,2.2
2,38,64,112,3.8,1.4000000000000001
1,35,57,110,4.0,2.6000000000000005
2,37,58,85,2.3,2.2
2,43,70,97,2.67,3.0
1,43,53,91,2.3,1.8
2,50,64,100,3.75,2.6000000000000005
1,68,58,72,4.0,2.2
1,37,53,105,3.75,3.0
2,42,64,95,2.3,4.6
2,69,60,100,2.2,2.6000000000000005
2,42,70,79,3.25,3.0
1,37,77,82,3.5,2.6000000000000005
1,69,51,116,2.75,4.6
1,69,61,121,3.75,1.8
2,52,53,81,2.5,1.4000000000000001
1,43,62,110,2.7,3.0
2,35,50,110,2.2,1.8
2,54,52,121,3.9,1.8
1,38,52,93,3.5,1.4000000000000001
1,42,64,101,3.8,3.0
2,45,55,90,2.2,1.4000000000000001
1,52,39,85,3.25,1.8
2,42,34,123,3.25,4.6
1,32,53,109,2.7,1.4000000000000001
1,46,40,85,3.2,3.0
2,56,48,107,2.3,1.8
1,51,57,101,3.25,1.8
2,50,77,102,2.25,2.6000000000000005
2,43,53,114,4.0,3.4000000000000004
1,50,67,136,3.25,1.8
2,52,63,124,2.3,2.2
2,35,60,85,3.25,1.4000000000000001
1,56,54,86,4.0,2.2
2,56,71,80,3.25,3.0
2,44,51,140,2.5,2.2
2,44,62,95,3.4,3.0
1,35,77,88,3.7,1.4000000000000001
1,41,60,86,2.7,1.8
2,68,51,133,3.7,4.6
1,38,31,102,2.7,1.8
1,63,40,101,3.8,1.8
1,32,48,113,3.2,2.2
2,42,62,124,3.75,3.0
1,43,64,109,3.2,2.2
2,37,57,106,3.8,1.4000000000000001
1,63,57,93,3.0,2.2
2,49,34,100,3.2,2.2
1,50,57,91,3.25,1.8
2,54,63,97,3.25,2.2
2,62,67,113,2.7,3.0
2,38,50,97,3.7,1.8
1,42,52,93,2.67,-0.6000000000000001
1,45,50,110,3.9,2.2
2,52,61,101,3.0,4.6
2,52,62,121,2.67,1.8
1,42,52,95,4.0,2.2
2,69,60,140,2.3,2.6000000000000005
1,43,48,110,3.2,3.0
2,63,48,91,2.1,3.0
2,52,64,111,3.0,1.4000000000000001
2,43,62,121,4.0,2.2
2,50,57,112,3.25,2.2
1,37,54,101,2.3,2.6000000000000005
2,51,70,110,3.5,2.2
1,46,61,136,2.6,4.6
1,35,70,107,3.25,1.8
2,43,63,144,2.3,1.4000000000000001
2,44,59,81,2.75,4.6
1,62,57,71,3.7,2.2
2,37,50,103,3.7,3.0
1,50,70,85,2.3,3.0
2,52,51,89,4.0,1.8
2,37,63,105,2.7,1.8
1,35,77,90,3.8,1.8
1,50,70,90,3.5,3.0
2,43,70,126,2.3,2.2
1,35,60,111,3.2,3.0
1,38,52,102,3.0,3.0
1,35,51,124,3.4,1.8
1,63,62,133,2.75,1.0
2,43,61,112,3.5,2.2
1,43,63,85,2.2,1.0
2,42,61,97,4.0,4.6
2,51,67,105,3.25,3.0
2,69,51,110,3.2,2.6000000000000005
1,43,39,116,2.6,3.0
1,41,50,93,3.75,3.0
2,45,40,76,4.0,3.0
2,50,50,81,3.25,1.4000000000000001
2,49,53,103,3.9,3.0
1,43,50,105,3.5,1.4000000000000001
2,44,77,144,3.75,-0.6000000000000001
1,37,31,110,2.2,2.2
2,46,61,87,3.75,4.6
2,45,39,113,4.0,1.4000000000000001
1,44,57,121,3.2,3.4000000000000004
1,35,39,100,2.3,2.2
2,51,63,82,3.4,1.4000000000000001
2,43,42,141,2.2,4.6
2,45,61,73,2.6,2.2
1,52,57,93,2.2,2.6000000000000005
2,43,77,105,3.75,2.2
2,52,40,90,3.25,1.4000000000000001
2,44,53,102,2.6,2.6000000000000005
1,51,55,91,3.75,1.4000000000000001
1,46,48,112,3.2,4.6
1,35,53,93,4.0,3.0
1,44,42,105,2.1,1.4000000000000001
1,63,63,113,3.25,2.2
2,49,52,113,3.2,3.0
2,38,48,103,4.0,1.8
1,46,58,93,4.0,4.6
2,62,54,105,2.5,3.0
2,46,77,73,3.4,2.6000000000000005
1,54,62,82,4.0,4.6
2,49,54,92,3.75,3.0
1,50,62,53,3.8,1.4000000000000001
2,52,53,90,3.2,2.2
2,44,48,136,3.7,3.0
1,42,49,101,2.8,2.6000000000000005
1,37,71,95,3.25,1.8
2,35,51,102,4.0,1.8
1,51,49,74,2.25,1.4000000000000001
2,56,58,115,4.0,1.4000000000000001
2,37,61,95,4.0,2.2
1,50,57,123,2.1,3.0
1,35,52,89,2.7,2.6000000000000005
2,49,50,106,2.7,4.6
1,43,77,130,4.0,2.6000000000000005
2,35,70,86,3.25,2.6000000000000005
1,45,49,110,4.0,2.6000000000000005
1,56,50,112,4.0,2.6000000000000005
2,43,77,53,3.2,2.2
2,37,52,107,3.2,1.4000000000000001
2,43,57,136,2.67,2.6000000000000005
1,52,48,93,3.2,2.2
1,37,63,101,3.9,3.0
2,43,49,90,2.67,2.2
1,42,54,109,2.2,2.6000000000000005
1,63,50,80,3.7,2.6000000000000005
2,69,62,106,4.0,3.0
2,68,55,110,4.0,4.6
1,32,53,101,3.2,1.4000000000000001
2,37,62,124,3.5,2.2
1,62,60,123,3.75,1.4000000000000001
2,51,67,95,3.75,2.2
2,54,61,124,4.0,1.8
1,50,64,106,2.3,1.4000000000000001
1,38,67,121,3.75,1.8
2,44,34,107,2.1,1.8
1,50,42,100,3.25,4.6
1,63,40,95,3.8,1.8
2,43,34,115,2.3,3.0
2,49,67,101,3.25,-0.6000000000000001
1,43,64,88,2.3,2.6000000000000005
2,56,58,95,4.0,3.0
1,50,55,141,2.8,2.6000000000000005
1,43,70,100,3.5,1.8
1,45,62,105,4.0,1.4000000000000001
2,51,40,110,3.75,4.6
1,51,67,100,4.0,1.4000000000000001
2,62,54,110,3.75,2.6000000000000005
2,32,71,100,4.0,3.0
2,54,53,86,3.0,4.6
1,38,67,85,2.7,1.8
1,51,34,89,4.0,2.2
2,63,64,110,2.6,1.4000000000000001
1,56,70,110,3.5,1.0
2,37,48,115,2.7,4.6
1,43,50,100,2.1,1.8
1,54,64,93,3.2,3.0
2,41,55,89,2.2,2.2
2,37,53,124,3.9,3.0
2,41,61,103,3.4,2.2
1,52,50,72,2.3,3.0
1,51,70,124,3.75,1.4000000000000001
2,45,50,53,2.67,2.6000000000000005
1,45,77,110,2.8,2.2
1,42,40,112,3.25,3.0
2,41,71,72,2.7,1.8
2,55,70,93,2.3,1.4000000000000001
2,32,62,93,3.8,1.8
2,35,50,112,2.67,2.6000000000000005
1,63,77,140,2.2,3.0
2,50,52,112,3.9,1.4000000000000001
1,52,62,93,4.0,3.4000000000000004
2,52,48,110,3.7,4.6
2,42,77,74,2.5,4.6
1,37,57,110,4.0,1.4000000000000001
2,63,63,107,3.0,2.2
1,50,52,110,3.4,2.2
2,46,70,124,2.5,1.8
1,38,61,96,3.2,1.8
2,44,54,90,3.2,2.6000000000000005
2,69,34,102,2.3,2.6000000000000005
1,38,50,85,2.2,4.6
2,41,63,110,2.7,2.6000000000000005
2,35,48,86,2.2,1.8
1,68,62,88,4.0,2.2
1,52,67,110,2.6,1.8
