sex,sat_v,sat_m,sat_sum,hs_gpa,fy_gpa
0,16,36,4,9,5
0,22,10,63,26,3
1,14,23,60,4,7
1,17,10,38,18,4
1,18,19,26,18,5
0,29,23,66,21,5
1,22,22,54,3,6
1,15,41,43,30,4
1,24,28,23,30,4
1,16,27,26,6,5
0,24,17,21,33,5
0,8,12,36,33,6
0,27,10,35,33,9
1,10,27,30,26,4
1,24,31,26,22,6
1,15,31,38,21,4
1,24,37,36,30,3
1,42,10,30,30,6
0,17,36,19,22,9
0,29,32,39,33,5
1,28,20,38,6,7
1,8,19,5,5,7
1,8,19,20,6,5
1,10,20,54,25,5
1,25,40,29,33,7
0,24,23,18,26,5
1,11,32,57,21,3
1,5,9,36,6,5
0,25,40,46,11,8
1,18,23,28,30,6
1,15,29,19,33,7
1,11,37,28,32,6
0,42,36,14,6,7
1,25,4,54,32,3
1,10,21,43,9,9
1,35,40,36,13,7
0,25,18,35,21,5
0,8,20,33,11,9
1,16,20,21,33,7
0,10,21,60,29,6
1,11,34,4,30,3
1,25,31,18,33,5
0,15,25,74,16,3
1,15,41,45,29,6
0,28,20,36,13,4
1,10,32,35,31,3
1,15,32,33,21,3
1,23,28,39,29,7
0,16,20,15,22,8
1,16,21,34,21,6
1,41,37,39,22,4
0,8,32,43,31,6
1,8,20,45,30,6
0,25,29,54,26,2
1,18,40,35,21,3
1,42,23,43,6,4
1,42,40,72,33,3
1,23,1,42,22,5
1,41,40,24,15,5
0,17,40,60,33,4
1,11,34,7,30,7
1,23,23,6,4,4
0,18,10,21,11,4
1,36,23,5,30,5
0,36,27,28,18,4
0,16,32,29,26,2
1,16,41,23,30,8
0,25,24,49,26,5
1,16,27,71,22,9
0,5,33,19,26,3
0,27,22,38,33,3
0,19,12,40,30,3
0,5,20,22,31,3
0,29,24,29,22,7
0,36,21,54,33,5
1,10,25,5,12,9
0,10,21,24,26,7
0,42,22,44,22,6
0,41,32,34,33,3
1,16,30,39,4,5
1,11,32,28,22,4
1,36,20,57,22,9
1,24,23,44,30,6
1,41,31,4,22,6
1,35,37,74,21,5
1,23,30,57,3,4
1,25,47,43,6,5
1,10,40,4,33,3
1,5,27,35,33,9
0,11,19,21,13,8
1,24,27,49,29,4
1,15,4,63,6,6
0,17,29,45,11,2
1,17,32,18,33,9
0,14,23,74,22,2
0,29,37,21,29,9
0,10,19,36,31,9
1,35,34,66,26,8
0,19,18,25,16,2
0,18,12,47,31,5
1,25,23,22,18,9
1,41,10,18,33,9
1,35,20,42,9,6
0,15,20,26,13,6
1,15,27,5,3,6
1,16,25,15,13,4
1,25,30,28,11,4
0,23,4,66,21,7
0,19,23,54,22,3
1,27,37,14,26,4
0,23,22,30,32,7
0,5,9,15,4,7
1,23,22,24,29,5
1,18,9,21,21,6
0,19,32,29,31,5
1,36,10,44,5,4
1,24,40,20,13,3
1,10,37,43,16,3
0,24,32,5,31,5
1,10,32,74,33,5
1,22,19,48,22,6
0,25,40,28,21,9
0,17,25,30,33,3
0,10,17,48,21,6
1,10,23,33,33,7
0,36,23,39,11,4
1,42,9,22,21,5
0,14,9,54,11,2
1,10,36,45,33,6
1,18,37,5,33,6
0,25,27,36,22,5
1,18,32,25,21,6
1,17,9,63,13,5
0,15,21,26,32,3
1,42,47,18,6,3
0,24,21,19,11,9
0,14,20,57,6,6
1,24,33,48,30,5
1,25,32,26,30,9
0,23,40,22,9,6
1,25,47,28,6,6
1,36,21,25,6,4
1,23,9,28,11,5
0,29,36,43,25,3
0,25,28,45,33,5
0,15,21,14,33,5
1,16,25,18,11,4
0,8,28,24,18,5
0,25,24,24,22,3
0,10,10,40,33,5
1,36,4,38,11,9
1,14,21,46,30,9
0,22,28,43,5,4
1,23,40,15,11,5
1,22,24,26,13,7
0,10,21,72,26,5
1,17,27,72,26,2
1,17,21,44,16,7
0,10,23,21,6,9
0,11,9,71,29,5
1,8,23,43,33,0
1,18,28,45,13,9
0,8,23,39,32,9
0,27,30,38,13,4
1,8,30,43,13,7
1,23,21,21,3,7
0,16,32,36,4,7
1,11,20,26,26,3
0,14,47,30,33,4
0,8,9,60,13,5
1,10,4,52,15,4
0,25,32,20,22,6
0,22,22,45,21,9
1,8,23,15,29,5
1,14,20,18,29,7
0,11,24,39,6,5
0,14,25,26,25,4
1,15,10,60,5,5
0,24,37,63,30,9
0,15,29,72,30,5
1,11,28,40,16,7
0,23,21,40,4,5
1,42,32,18,11,5
1,35,10,57,6,9
1,25,37,57,33,6
0,16,4,19,6,5
1,14,18,39,30,8
0,14,40,44,4,5
1,14,27,19,29,4
0,19,9,39,33,6
0,23,30,13,21,9
0,8,27,74,31,9
1,18,23,36,18,3
1,11,31,33,13,5
0,8,20,38,31,6
0,18,40,45,22,5
0,29,22,57,13,5
1,10,36,9,31,6
0,35,19,19,26,3
1,42,29,57,22,7
0,8,36,42,26,3
0,24,33,29,4,5
0,14,34,29,18,9
1,11,32,24,13,8
0,10,32,23,3,9
1,19,19,14,6,7
0,28,12,15,26,5
1,23,34,26,11,6
0,14,20,43,6,5
0,24,34,45,30,5
0,25,29,5,22,2
1,23,32,19,33,6
0,35,20,72,13,5
1,18,23,57,13,8
0,16,24,57,4,3
0,8,9,26,31,5
0,25,18,60,9,9
0,16,20,66,13,5
0,27,47,45,21,7
1,23,41,44,6,9
1,18,18,34,6,5
1,14,47,26,22,4
0,25,27,48,29,9
1,29,4,45,12,4
0,36,20,19,3,7
0,23,19,28,21,6
1,27,20,63,26,4
0,29,37,18,33,6
1,18,32,42,33,5
0,25,4,43,29,7
1,25,34,40,6,7
0,29,10,46,30,5
0,23,28,7,33,7
0,14,25,48,33,4
1,36,27,21,25,5
1,23,22,34,11,2
1,42,37,24,21,9
1,22,18,54,13,9
1,25,23,38,4,6
1,15,25,40,26,6
1,5,27,45,33,5
0,15,10,21,13,0
1,10,21,12,30,5
1,16,25,29,32,3
1,8,32,47,6,7
0,15,32,63,6,4
1,35,41,54,33,6
0,27,18,44,29,6
1,35,18,18,12,4
1,14,20,34,4,4
0,22,19,18,3,2
1,42,23,21,30,3
1,25,21,23,6,7
0,19,40,44,11,4
1,16,20,66,26,5
1,10,41,36,3,4
1,42,9,43,22,5
0,35,30,26,11,3
1,5,20,26,21,4
0,10,36,22,26,4
1,14,10,36,30,6
0,27,22,66,9,9
1,10,17,71,30,4
0,36,23,56,18,4
0,16,4,34,6,5
0,17,20,12,18,6
0,22,30,35,29,4
0,15,47,48,26,3
1,17,4,57,30,5
0,14,25,12,33,5
1,24,32,30,31,9
1,11,20,48,32,4
1,23,37,26,29,9
0,15,10,57,22,5
0,5,37,44,22,3
0,29,47,34,4,4
1,22,4,20,31,9
1,5,28,38,5,5
1,5,20,69,33,6
0,36,29,26,9,4
1,36,9,45,21,4
0,16,12,19,21,5
1,23,37,36,33,4
1,25,33,56,13,5
1,8,30,21,6,5
0,16,27,14,31,4
0,14,34,38,32,2
1,23,32,49,31,6
0,10,28,30,22,6
1,11,22,56,32,6
0,16,19,35,25,5
1,36,22,9,33,5
0,14,40,28,21,6
1,11,4,43,26,6
1,29,41,35,22,4
1,41,4,25,6,7
1,18,17,26,16,5
1,24,22,54,22,5
0,10,37,54,33,9
0,25,4,4,25,8
0,15,24,54,18,5
0,16,40,45,5,9
0,25,36,56,6,5
1,22,20,21,4,7
1,36,29,30,11,5
0,27,19,36,33,6
0,17,37,49,33,2
1,23,23,54,26,3
1,18,10,39,26,5
1,23,21,29,9,5
1,11,17,9,29,6
0,24,12,13,6,7
1,16,23,12,15,4
1,10,31,22,21,5
1,22,4,29,6,7
1,8,32,18,33,5
0,23,22,18,18,9
0,42,18,28,4,8
0,14,20,24,6,5
1,19,25,49,25,6
1,22,23,30,3,3
1,24,25,45,6,7
1,10,41,63,3,3
0,23,25,46,31,6
0,36,28,15,33,3
0,18,37,20,4,6
0,25,24,45,13,5
0,19,10,72,22,3
1,25,32,34,13,5
1,10,4,18,33,4
1,36,19,57,31,3
1,29,41,15,18,9
1,15,22,43,18,5
1,29,9,4,15,7
0,10,27,45,25,4
1,18,1,66,6,6
1,22,41,72,21,4
1,18,40,24,11,9
1,19,19,22,6,3
0,15,33,22,3,7
1,15,10,54,18,7
0,8,20,54,31,9
0,16,10,43,31,3
0,28,19,46,25,6
0,15,37,15,33,7
0,8,27,63,30,7
1,10,20,20,9,4
0,19,29,28,13,2
1,10,27,46,6,3
0,42,33,9,13,5
1,27,20,34,26,5
0,15,27,19,30,4
0,17,25,7,18,5
0,10,40,66,3,5
1,15,20,29,6,4
1,15,24,66,6,4
1,36,21,45,6,5
0,16,27,57,12,4
1,42,23,13,13,5
0,27,28,18,26,8
1,18,34,35,4,3
1,22,24,4,31,4
0,8,23,34,13,3
1,25,32,43,22,7
1,17,32,43,26,5
1,16,19,25,13,4
1,15,41,30,21,5
1,25,22,74,3,6
1,18,28,33,22,8
0,27,21,48,4,5
1,24,30,9,6,6
0,18,23,72,11,6
0,25,27,43,18,5
1,10,9,19,6,6
0,10,9,14,21,6
0,11,34,57,11,6
0,16,27,28,13,3
1,15,9,45,4,5
1,16,23,26,26,6
1,22,37,22,11,6
0,10,27,54,13,7
0,27,28,43,33,4
1,24,47,43,30,3
0,17,12,42,29,8
1,16,20,54,21,6
1,15,36,43,6,5
1,10,4,44,12,5
1,29,34,20,21,5
1,10,22,21,32,2
0,8,33,69,26,5
1,23,20,5,25,4
0,25,22,7,22,2
1,16,33,26,6,5
1,42,28,36,21,7
1,23,34,74,13,7
1,27,27,43,6,4
1,8,34,9,30,4
0,41,4,54,6,5
1,16,9,7,33,9
1,16,21,28,26,7
1,25,25,25,25,5
0,28,12,35,21,7
1,19,31,5,32,3
1,25,37,72,32,4
1,42,34,5,29,3
1,11,22,19,30,7
1,5,19,59,21,4
1,22,28,43,33,5
1,8,18,18,9,6
0,25,10,33,18,4
0,18,47,26,30,5
1,23,41,43,13,4
0,23,33,54,9,7
1,5,29,56,25,6
0,27,36,28,13,3
0,15,25,20,26,7
1,18,19,38,6,0
0,36,10,29,30,5
0,25,36,30,9,8
1,17,36,33,29,3
1,16,47,24,33,7
1,14,27,63,22,5
0,10,33,24,12,5
0,8,20,45,13,6
0,24,27,66,22,7
0,16,20,40,32,9
1,11,27,22,16,3
0,10,19,35,3,5
1,25,47,45,18,6
1,42,32,54,31,3
1,10,25,69,25,5
1,27,32,60,18,5
1,18,9,44,33,6
0,22,18,57,26,3
1,36,27,23,13,6
0,16,4,28,18,9
0,8,23,4,26,5
1,10,37,45,16,5
1,25,29,63,18,9
0,24,34,38,33,5
1,23,23,43,12,6
1,18,4,30,6,7
1,15,36,69,13,4
1,25,4,39,3,7
1,25,36,57,33,2
1,15,20,46,29,4
1,42,10,26,30,5
0,10,20,45,31,4
0,25,37,47,22,5
1,16,40,43,22,5
1,22,20,28,29,9
0,23,4,36,26,5
1,11,34,45,31,3
0,8,27,43,33,6
1,10,28,18,6,5
1,16,40,30,12,7
0,16,23,24,6,4
1,23,34,33,30,6
0,41,28,5,33,5
0,10,23,38,30,7
1,15,34,28,6,9
1,42,30,33,4,6
1,15,40,12,22,7
0,10,47,15,26,6
0,42,21,49,15,9
0,42,31,54,30,4
1,25,23,14,9,3
0,16,32,43,13,7
1,8,20,43,4,4
1,27,22,54,32,4
0,11,22,26,26,3
0,15,34,34,31,7
1,18,25,23,4,3
0,25,9,18,22,4
1,15,4,56,22,9
0,5,23,42,13,3
0,19,10,18,21,7
1,29,18,40,6,4
0,24,27,34,22,4
1,23,47,35,5,6
1,16,23,47,33,8
0,23,37,69,22,4
1,25,33,57,6,5
1,8,30,18,22,3
0,29,24,19,33,5
1,29,41,13,22,7
1,17,21,71,9,5
1,17,32,28,25,7
0,8,47,21,29,3
0,14,30,19,13,4
1,41,21,66,29,9
0,11,1,35,13,4
0,36,10,34,31,4
0,5,18,46,21,5
1,15,32,57,30,7
0,16,34,42,21,5
1,10,27,39,31,3
0,36,27,26,18,5
1,22,4,33,21,5
0,23,27,24,22,4
1,27,33,30,22,5
1,35,37,46,13,7
1,11,20,30,29,4
0,15,22,26,12,0
0,18,20,43,32,5
1,25,31,34,18,9
1,25,32,54,12,4
0,15,22,28,33,5
1,42,30,71,6,6
0,16,18,43,21,7
1,36,18,24,3,7
1,25,34,44,18,3
1,16,32,54,33,5
1,23,27,45,22,5
0,10,24,34,6,6
1,24,40,43,26,5
0,19,31,69,11,9
0,8,40,40,22,4
1,16,33,74,6,3
1,17,29,14,15,9
0,35,27,4,29,5
1,10,20,36,29,7
0,23,40,18,6,7
1,25,21,22,33,4
1,10,33,38,13,4
0,8,47,23,31,4
0,23,40,23,26,7
1,16,40,59,6,5
0,8,30,44,21,7
0,11,22,35,18,7
0,8,21,57,25,4
0,36,32,66,15,2
1,16,31,45,26,5
0,16,33,18,4,2
1,15,31,30,33,9
1,24,37,38,22,7
1,42,21,43,21,6
0,16,9,49,11,7
0,14,20,26,30,7
1,18,10,9,33,7
1,23,20,14,22,3
1,22,23,36,32,7
0,16,20,38,26,3
1,17,47,74,30,0
0,10,1,43,4,5
1,19,31,20,30,9
1,18,9,46,33,3
0,17,27,54,21,8
0,8,9,33,6,5
1,24,33,15,25,3
1,16,12,72,4,9
1,18,31,6,11,5
0,25,27,26,4,6
1,16,47,38,30,5
1,25,10,23,22,3
1,17,23,35,11,6
0,24,25,24,30,3
0,19,18,45,21,9
0,8,23,26,33,7
0,17,12,38,3,3
0,36,33,46,22,5
1,22,22,46,21,7
1,11,18,36,33,4
0,19,28,26,33,9
1,35,24,38,9,7
1,19,47,6,25,6
0,27,32,15,33,9
1,22,24,25,30,7
0,23,32,0,31,3
1,25,23,23,21,5
1,17,18,69,29,7
0,15,19,34,16,6
0,10,41,28,22,4
1,8,21,35,33,4
0,24,19,7,5,3
1,29,28,48,33,3
1,10,31,28,33,5
0,23,27,56,3,7
0,8,22,22,13,6
1,22,20,39,13,9
0,16,47,63,33,6
1,8,40,19,22,6
0,18,19,43,33,6
0,29,20,45,33,6
1,16,47,0,21,5
1,10,22,40,21,3
1,16,27,69,12,6
0,25,18,26,21,5
0,10,33,34,32,7
1,16,19,23,12,5
0,15,24,42,4,6
0,36,20,13,29,6
1,42,32,39,33,7
1,41,25,43,33,9
0,5,23,34,21,3
1,10,32,57,26,5
0,35,30,56,30,3
1,24,37,28,30,5
1,27,31,57,33,4
0,23,34,39,6,3
0,11,37,54,30,4
1,17,4,40,3,4
0,23,12,33,22,9
0,36,10,28,31,4
1,16,4,48,6,7
1,22,37,34,22,0
0,16,34,21,6,6
1,29,28,28,33,7
0,23,25,72,16,6
0,16,40,33,26,4
0,18,32,38,33,3
1,24,10,43,30,9
0,24,37,33,33,3
1,35,24,43,30,6
1,5,41,33,33,7
1,27,23,19,18,9
0,11,37,18,13,4
0,24,4,22,33,5
1,36,34,43,11,3
0,29,40,43,26,2
1,10,18,48,13,9
0,16,20,33,3,4
0,27,34,26,21,7
1,14,25,22,4,5
1,10,23,57,32,7
1,14,31,36,25,5
0,25,20,5,6,7
0,24,40,57,30,3
1,18,20,0,12,6
0,18,47,43,16,5
0,15,10,45,22,7
1,14,41,5,13,4
1,28,40,26,6,3
1,5,32,26,31,4
1,8,20,45,12,6
0,36,47,71,4,7
1,23,22,45,32,3
0,25,32,26,33,8
1,25,18,43,29,9
1,15,47,7,9,9
0,10,27,43,33,3
1,36,33,40,18,5
0,23,22,43,25,5
1,19,40,57,9,4
0,11,31,29,21,4
1,17,24,23,21,6
1,42,4,35,6,6
0,11,20,18,4,9
1,14,33,43,13,6
1,8,18,19,4,4
0,41,32,21,33,5
0,25,37,43,11,4
1,10,20,56,31,4
0,25,47,14,30,5
0,23,24,44,33,9
1,17,4,24,4,7
0,16,20,63,13,7
1,42,40,34,33,9
1,36,30,0,30,7
0,8,18,30,21,7
0,25,37,35,32,5
1,25,19,66,18,6
0,15,30,23,5,5
1,25,32,15,21,5
0,22,20,60,11,6
1,23,40,26,4,9
0,16,30,30,25,6
0,18,1,29,16,6
1,25,28,54,11,6
0,25,27,33,31,6
1,36,32,35,31,9
0,10,40,43,31,3
0,11,29,43,32,9
0,25,21,35,26,6
0,19,25,35,12,4
0,25,34,36,21,3
1,29,28,54,4,9
0,35,20,44,13,4
1,25,37,30,30,5
1,10,33,66,31,4
0,36,27,36,21,5
1,8,19,72,29,4
1,41,27,33,13,7
1,23,4,35,13,8
1,17,21,45,3,6
1,8,36,54,4,6
0,8,22,48,18,5
0,29,10,22,22,2
0,8,22,36,26,6
1,14,21,33,25,5
1,36,40,63,11,5
1,5,19,74,21,5
0,25,37,45,11,4
1,42,18,45,33,3
0,17,20,9,21,9
1,8,18,56,33,9
1,15,20,24,13,4
1,25,25,19,13,5
1,29,37,56,21,5
1,10,20,29,33,6
1,19,32,21,21,6
1,14,36,66,11,5
1,23,23,48,3,5
1,16,31,21,33,4
0,11,17,5,22,3
1,17,27,29,33,3
1,16,24,22,30,4
0,19,30,43,21,2
1,41,4,72,33,6
0,24,32,72,6,7
0,25,21,74,4,4
0,25,29,38,26,9
0,42,18,74,33,6
0,8,19,63,33,2
0,35,22,39,16,6
1,22,33,44,6,7
0,42,21,7,25,6
0,11,19,43,3,5
0,29,18,26,3,5
1,25,10,66,22,6
0,15,40,71,21,3
1,14,47,59,22,7
0,15,20,6,6,7
0,18,18,14,13,6
1,8,25,28,15,5
1,42,28,6,33,9
0,17,4,57,18,5
1,22,27,7,3,6
0,27,40,23,26,4
1,23,22,45,30,5
1,24,25,14,18,6
1,25,37,48,31,4
0,11,20,44,21,8
0,36,4,43,3,7
0,25,40,66,21,5
0,8,10,38,25,3
0,8,23,66,33,7
0,36,25,33,12,6
0,8,28,26,21,4
1,23,9,25,31,3
0,10,40,54,21,4
1,10,28,49,12,5
0,8,22,23,33,7
1,25,32,46,22,9
0,11,18,66,32,3
1,28,27,42,30,4
1,8,31,45,9,7
0,41,22,29,29,5
1,24,21,26,6,7
0,29,20,30,6,5
0,24,19,21,31,6
1,15,34,22,25,9
0,15,12,54,30,5
0,17,12,43,33,3
1,17,36,26,25,3
1,18,41,22,22,8
0,18,12,48,30,7
1,10,4,18,22,7
1,10,28,28,33,5
1,16,34,54,6,6
0,8,27,54,22,7
0,18,33,7,6,4
1,19,9,66,30,9
1,18,24,18,25,5
0,14,41,56,26,5
1,16,27,34,33,7
0,16,25,57,6,5
1,16,23,45,18,4
1,22,31,74,22,4
1,14,32,45,29,7
0,25,4,18,30,5
0,8,37,66,33,4
0,14,47,35,22,5
0,11,18,63,21,5
1,10,4,47,13,6
0,16,27,44,26,5
0,17,47,21,12,5
1,17,31,25,22,5
0,15,23,9,12,5
1,5,23,29,30,3
0,17,18,35,33,6
1,10,23,7,15,5
1,14,20,15,30,4
0,19,4,23,22,5
0,17,21,36,22,4
0,23,32,38,33,6
1,36,30,66,30,3
1,25,28,63,9,7
0,28,33,45,32,3
0,25,31,19,32,5
0,15,23,18,13,3
1,25,32,44,3,5
1,15,23,44,13,2
0,36,24,74,25,6
0,17,20,39,13,6
0,8,30,25,26,5
1,16,20,35,30,7
1,25,18,29,13,9
1,25,22,21,21,3
1,24,20,28,26,3
1,17,32,13,16,4
0,41,4,30,18,3
0,27,30,47,5,3
1,18,33,54,5,9
1,10,10,26,33,6
0,19,23,43,11,7
1,36,17,43,21,6
0,8,20,14,21,8
0,5,12,21,22,5
1,23,21,63,33,6
0,25,28,34,26,3
1,29,18,38,21,8
1,25,25,43,22,4
1,8,23,46,3,4
1,22,20,18,26,6
1,19,40,36,22,2
0,42,31,66,25,3
1,10,4,38,33,5
1,35,29,0,4,5
1,23,20,43,33,4
0,16,10,56,6,7
0,18,20,28,6,4
0,15,22,33,6,4
1,17,20,18,32,0
0,35,47,25,11,4
1,35,19,45,25,7
1,23,25,9,6,7
0,27,23,45,33,4
1,19,41,42,11,9
0,25,47,36,6,9
1,8,18,49,6,7
1,10,20,19,21,3
1,29,17,24,31,4
0,18,27,18,31,6
1,15,47,18,30,4
0,22,34,57,15,7
1,24,28,35,26,7
1,23,27,60,33,7
1,15,24,35,16,2
1,25,19,24,33,6
0,18,30,54,33,5
1,17,9,34,3,6
1,8,40,35,6,5
0,5,18,43,22,9
0,16,23,20,33,4
1,15,21,18,16,3
0,18,41,57,18,5
0,11,4,46,6,6
0,25,36,24,33,3
0,8,24,28,30,7
1,11,27,15,6,3
1,16,40,38,6,6
1,25,30,72,25,5
0,27,27,21,18,5
1,25,21,38,13,5
1,15,4,36,7,5
0,15,22,35,18,9
1,15,28,44,33,5
0,15,30,29,21,8
1,19,40,34,29,7
0,8,40,6,29,3
0,41,9,38,30,6
0,16,22,18,30,3
0,19,29,9,26,3
1,29,24,33,9,5
0,23,4,5,18,7
1,16,20,54,6,4
1,15,20,21,30,7
1,15,33,4,21,4
1,25,22,15,30,7
1,14,22,28,16,5
1,25,9,13,30,3
0,25,40,18,21,5
